Ways of Seeing (Paperback),John Berger
The Story of Art (Unknown Binding),E.H. Gombrich
The New Drawing on the Right Side of the Brain (Paperback),Betty Edwards
Steal Like an Artist: 10 Things Nobody Told You About Being Creative (Paperback),Austin Kleon
The Artist's Way: A Spiritual Path to Higher Creativity (Paperback),Julia Cameron
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles
Wall and Piece (Paperback),Banksy
The Art Book (Paperback),Phaidon Press
Girl with a Pearl Earring (Paperback),Tracy Chevalier
The Letters of Vincent van Gogh (Paperback),Vincent van Gogh
Concerning the Spiritual in Art (Paperback),Wassily Kandinsky
Seven Days in the Art World (Paperback),Sarah Thornton
The Goldfinch (Hardcover),Donna Tartt
History of Beauty (Paperback),Umberto Eco
On Photography (Paperback),Susan Sontag
Color and Light: A Guide for the Realist Painter (Volume 2) (James Gurney Art),James Gurney
The Diary of Frida Kahlo: An Intimate Self-Portrait (Hardcover),Frida Kahlo
The War of Art: Winning the Inner Creative Battle (Paperback),Steven Pressfield
Understanding Comics: The Invisible Art (Paperback),Scott McCloud
Interaction of Color (Paperback),Josef Albers
Art Through the Ages (Hardcover),Fred S. Kleiner
Color: A Natural History of the Palette (Paperback),Victoria Finlay
M.C. Escher: The Graphic Work (Paperback),M.C. Escher
Vincent Van Gogh: The Complete Paintings (Hardcover),Rainer Metzger
The Secret Lives of Color (Hardcover),Kassia St. Clair
Just Kids (Hardcover),Patti Smith
History of Art (Hardcover),H.W. Janson
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered (Paperback),Austin Kleon
The Shock of the New (Paperback),Hughes Robert
The Lives of the Artists (Paperback),Giorgio Vasari
Figure Drawing for All It's Worth (Hardcover),Andrew Loomis
The Art Forger (Hardcover),Barbara A. Shapiro
The Agony and the Ecstasy (Mass Market Paperback),Irving Stone
The Art Spirit (Paperback),Robert Henri
Leonardo's Notebooks (Hardcover),Leonardo da Vinci
Camera Lucida: Reflections on Photography (Paperback),Roland Barthes
Michelangelo and the Pope's Ceiling (Paperback),Ross King
Art Matters: Because Your Imagination Can Change the World (Kindle Edition),Neil Gaiman
The Power of Art (Hardcover),Simon Schama
On Ugliness (Hardcover),Umberto Eco
The Philosophy of Andy Warhol (From A to B and Back Again),Andy Warhol
"An Illustrated Life: Drawing Inspiration from the Private Sketchbooks of Artists, Illustrators and Designers (Paperback)",Danny Gregory
The Lonely City: Adventures in the Art of Being Alone (Hardcover),Olivia Laing
The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism (Paperback),Ross King
The Dot (Hardcover),Peter H. Reynolds
Frida: A Biography of Frida Kahlo (Paperback),Hayden Herrera
"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media (Paperback)",Walter Benjamin
Faeries (Hardcover),Brian Froud
