Charlotte's Web (Paperback),E.B. White
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling
The Giving Tree (Hardcover),Shel Silverstein
Matilda (Paperback),Roald Dahl
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis
Green Eggs and Ham (Hardcover),Dr. Seuss
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling
The Little Prince (Paperback),Antoine de Saint-Exupéry
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling
Where the Sidewalk Ends (Hardcover),Shel Silverstein
The Secret Garden (Hardcover),Frances Hodgson Burnett
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling
James and the Giant Peach (Hardcover),Roald Dahl
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling
Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling
The Very Hungry Caterpillar (Board book),Eric Carle
The BFG (Paperback),Roald Dahl
The Witches (Paperback),Roald Dahl
Goodnight Moon (Hardcover),Margaret Wise Brown
How the Grinch Stole Christmas! (Hardcover),Dr. Seuss
"Oh, the Places You'll Go! (Hardcover)",Dr. Seuss
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum
Peter Pan (Hardcover),J.M. Barrie
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis
The Velveteen Rabbit (Paperback),Margery Williams Bianco
Coraline (Paperback),Neil Gaiman
The Lorax (Hardcover),Dr. Seuss
The Phantom Tollbooth (Paperback),Norton Juster
The Wind in the Willows (Paperback),Kenneth Grahame
Bridge to Terabithia (Kindle Edition),Katherine Paterson
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis
A Light in the Attic (Hardcover),Shel Silverstein
"One Fish, Two Fish, Red Fish, Blue Fish (Hardcover)",Dr. Seuss
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan
"Holes (Holes, #1)",Louis Sachar
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis
"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis
The Tale of Peter Rabbit (Hardcover),Beatrix Potter
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder
A Little Princess (Paperback),Frances Hodgson Burnett
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder
