Pride and Prejudice (Paperback),Jane Austen
The Great Gatsby (Paperback),F. Scott Fitzgerald
To Kill a Mockingbird (Paperback),Harper Lee
Jane Eyre (Paperback),Charlotte Brontë
1984 (Paperback),George Orwell
Wuthering Heights (Paperback),Emily Brontë
Animal Farm (Mass Market Paperback),George Orwell
The Picture of Dorian Gray (Paperback),Oscar Wilde
The Catcher in the Rye (Paperback),J.D. Salinger
Little Women (Mass Market Paperback),Louisa May Alcott
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley
Of Mice and Men (Paperback),John Steinbeck
Romeo and Juliet (Mass Market Paperback),William Shakespeare
Sense and Sensibility (Paperback),Jane Austen
Emma (Paperback),Jane Austen
Dracula (Paperback),Bram Stoker
Persuasion (Paperback),Jane Austen
A Tale of Two Cities (Paperback),Charles Dickens
Great Expectations (Paperback),Charles Dickens
The Count of Monte Cristo (Paperback),Alexandre Dumas
The Adventures of Huckleberry Finn (Paperback),Mark Twain
Anna Karenina (Paperback),Leo Tolstoy
The Odyssey (Paperback),Homer
Crime and Punishment (Paperback),Fyodor Dostoevsky
Brave New World (Paperback),Aldous Huxley
The Scarlet Letter (Paperback),Nathaniel Hawthorne
Hamlet (Paperback),William Shakespeare
Macbeth: Moment by Moment (Paperback),William Shakespeare
The Secret Garden (Hardcover),Frances Hodgson Burnett
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien
The Little Prince (Paperback),Antoine de Saint-Exupéry
The Old Man and the Sea (Hardcover),Ernest Hemingway
Les Misérables (Mass Market Paperback),Victor Hugo
Northanger Abbey (Paperback),Jane Austen
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery
The Diary of a Young Girl (Mass Market Paperback),Anne Frank
Dr. Jekyll and Mr. Hyde (Mass Market Paperback),Robert Louis Stevenson
The Adventures of Tom Sawyer (Paperback),Mark Twain
The Grapes of Wrath (Hardcover),John Steinbeck
The Metamorphosis (Paperback),Franz Kafka
Lolita (Paperback),Vladimir Nabokov
Rebecca (ebook),Daphne du Maurier
Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.
Mansfield Park (Paperback),Jane Austen
The Iliad (Hardcover),Homer
The Stranger (Paperback),Albert Camus
Gone with the Wind (Mass Market Paperback),Margaret Mitchell
"Moby-Dick or, The Whale (Paperback)",Herman Melville
A Midsummer Night's Dream (Mass Market Paperback),William Shakespeare
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood
