Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari
"Guns, Germs, and Steel: The Fates of Human Societies (Paperback)",Jared Diamond
"Guns, Germs, and Steel: The Fates of Human Societies (Paperback)",Jared Diamond
A People's History of the United States (Paperback),Howard Zinn
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson
1776 (Paperback),David McCullough
A Short History of Nearly Everything (Paperback),Bill Bryson
1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann
SPQR: A History of Ancient Rome (Paperback),Mary Beard
The Rise and Fall of the Third Reich: A History of Nazi Germany (Mass Market Paperback),William L. Shirer
"Night  (The Night Trilogy, #1)",Elie Wiesel
Team of Rivals: The Political Genius of Abraham Lincoln (Paperback),Doris Kearns Goodwin
Bury My Heart at Wounded Knee: An Indian History of the American West (Paperback),Dee Brown
"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand
The Guns of August (Kindle Edition),Barbara W. Tuchman
John Adams (Paperback),David McCullough
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (Paperback),David Grann
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin (Hardcover)",Erik Larson
Alexander Hamilton (Paperback),Ron Chernow
Genghis Khan and the Making of the Modern World (Kindle Edition),Jack Weatherford
The Warmth of Other Suns: the Epic Story of America's Great Migration (Hardcover),Isabel Wilkerson
Silk Roads (Hardcover),Peter Frankopan
Dead Wake: The Last Crossing of the Lusitania (Hardcover),Erik Larson
A Distant Mirror: The Calamitous 14th Century (Paperback),Barbara W. Tuchman
The Immortal Life of Henrietta Lacks (Hardcover),Rebecca Skloot
"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa (Kindle Edition)",Adam Hochschild
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong (Paperback),James W. Loewen
The Histories (Paperback),Herodotus
"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary (Paperback)",Simon Winchester
Homo Deus: A History of Tomorrow (Kindle Edition),Yuval Noah Harari
Salt: A World History (Paperback),Mark Kurlansky
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz (Kindle Edition)",Erik Larson
Collapse: How Societies Choose to Fail or Succeed (Paperback),Jared Diamond
The Radium Girls: The Dark Story of America’s Shining Women (Hardcover),Kate  Moore
The Rape of Nanking: The Forgotten Holocaust of World War II (Paperback),Iris Chang
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest (Paperback)",Stephen E. Ambrose
Hiroshima (Paperback),John Hersey
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President (Hardcover)",Candice Millard
In the Heart of the Sea: The Tragedy of the Whaleship Essex (Paperback),Nathaniel Philbrick
Endurance: Shackleton's Incredible Voyage (Hardcover),Alfred Lansing
The Art of War (Paperback),Sun Tzu
Caste: The Origins of Our Discontents (Hardcover),Isabel Wilkerson
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World (Hardcover)",Steven Johnson
Man's Search for Meaning (Paperback),Viktor E. Frankl
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time (Hardcover),Dava Sobel
Say Nothing: A True Story of Murder and Memory in Northern Ireland (Hardcover),Patrick Radden Keefe
At Home: A Short History of Private Life (Hardcover),Bill Bryson
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics (Hardcover),Daniel James Brown
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier (Paperback),Stephen E. Ambrose
History of the Peloponnesian War (Paperback),Thucydides
